question_id,notice_code,expected_heading_path,dense_rank,dense_p1,dense_rr,dense_hit5,dense_latency_seconds,dense_top1_chunk_id,dense_top1_heading_path,bm25_rank,bm25_p1,bm25_rr,bm25_hit5,bm25_latency_seconds,bm25_top1_chunk_id,bm25_top1_heading_path,hybrid_rank,hybrid_p1,hybrid_rr,hybrid_hit5,hybrid_latency_seconds,hybrid_top1_chunk_id,hybrid_top1_heading_path,hybrid_reranker_rank,hybrid_reranker_p1,hybrid_reranker_rr,hybrid_reranker_hit5,hybrid_reranker_latency_seconds,hybrid_reranker_top1_chunk_id,hybrid_reranker_top1_heading_path,hybrid_reranker_top1_score,reranker_model
S01,CP14,"[""Frequently asked questions"", ""What happens if I can't pay or pay the full amount I owe now?""]",1,1,1.000000000000,1,0.114988,irs_cp14__heading_aware_220_40__s0007__c0000__a297496ae4f8c471b6d210ef8d82fbfb11bf8fed3f02cc0d6351e47a00710a1d,"[""Frequently asked questions"", ""What happens if I can't pay or pay the full amount I owe now?""]",1,1,1.000000000000,1,0.000094,irs_cp14__heading_aware_220_40__s0007__c0000__a297496ae4f8c471b6d210ef8d82fbfb11bf8fed3f02cc0d6351e47a00710a1d,"[""Frequently asked questions"", ""What happens if I can't pay or pay the full amount I owe now?""]",1,1,1.000000000000,1,0.115100,irs_cp14__heading_aware_220_40__s0007__c0000__a297496ae4f8c471b6d210ef8d82fbfb11bf8fed3f02cc0d6351e47a00710a1d,"[""Frequently asked questions"", ""What happens if I can't pay or pay the full amount I owe now?""]",1,1,1.000000000000,1,0.506594,irs_cp14__heading_aware_220_40__s0007__c0000__a297496ae4f8c471b6d210ef8d82fbfb11bf8fed3f02cc0d6351e47a00710a1d,"[""Frequently asked questions"", ""What happens if I can't pay or pay the full amount I owe now?""]",0.835617800000,bge-reranker-v2-m3
S02,CP501,"[""Frequently asked questions"", ""What should I do if I disagree with any changes made to my account?""]",1,1,1.000000000000,1,0.088039,irs_cp501__heading_aware_220_40__s0006__c0000__12c531847adcfdd0febcb8f1e4d97fb859f6ea69fe5a37e5aab0b08eee4f75a9,"[""Frequently asked questions"", ""What should I do if I disagree with any changes made to my account?""]",1,1,1.000000000000,1,0.000060,irs_cp501__heading_aware_220_40__s0006__c0000__12c531847adcfdd0febcb8f1e4d97fb859f6ea69fe5a37e5aab0b08eee4f75a9,"[""Frequently asked questions"", ""What should I do if I disagree with any changes made to my account?""]",1,1,1.000000000000,1,0.088112,irs_cp501__heading_aware_220_40__s0006__c0000__12c531847adcfdd0febcb8f1e4d97fb859f6ea69fe5a37e5aab0b08eee4f75a9,"[""Frequently asked questions"", ""What should I do if I disagree with any changes made to my account?""]",1,1,1.000000000000,1,0.485634,irs_cp501__heading_aware_220_40__s0006__c0000__12c531847adcfdd0febcb8f1e4d97fb859f6ea69fe5a37e5aab0b08eee4f75a9,"[""Frequently asked questions"", ""What should I do if I disagree with any changes made to my account?""]",0.207696410000,bge-reranker-v2-m3
S03,CP503,"[""Frequently asked questions"", ""How much time do I have?""]",1,1,1.000000000000,1,0.087719,irs_cp503__heading_aware_220_40__s0006__c0000__32083266d885c37129723c6290398bf7e5223a3d7f4bdd593b67704704f3e159,"[""Frequently asked questions"", ""How much time do I have?""]",2,0,0.500000000000,1,0.000080,irs_cp503__heading_aware_220_40__s0004__c0000__e3fb23f9a20e6a36d090df0741444b0a8360e265082bb6963700faa0836c3ba4,"[""Frequently asked questions"", ""What is the notice telling me?""]",2,0,0.500000000000,1,0.087811,irs_cp503__heading_aware_220_40__s0004__c0000__e3fb23f9a20e6a36d090df0741444b0a8360e265082bb6963700faa0836c3ba4,"[""Frequently asked questions"", ""What is the notice telling me?""]",1,1,1.000000000000,1,0.464579,irs_cp503__heading_aware_220_40__s0006__c0000__32083266d885c37129723c6290398bf7e5223a3d7f4bdd593b67704704f3e159,"[""Frequently asked questions"", ""How much time do I have?""]",0.317426260000,bge-reranker-v2-m3
S04,CP504,"[""Frequently asked questions"", ""What happens if I don't pay or contact the IRS?""]",1,1,1.000000000000,1,0.083133,irs_cp504__heading_aware_220_40__s0006__c0000__4edc1b85a03cc098f12d2298f1bdbbf8ee173a47e3588b9a72499385a921d2c0,"[""Frequently asked questions"", ""What happens if I don't pay or contact the IRS?""]",4,0,0.250000000000,1,0.000133,irs_cp504__heading_aware_220_40__s0002__c0000__9aefb638f370906f29acd66b6e0939d661175fcaab3d02e90bc3b068e8c43de6,"[""You may want to""]",2,0,0.500000000000,1,0.083298,irs_cp504__heading_aware_220_40__s0002__c0000__9aefb638f370906f29acd66b6e0939d661175fcaab3d02e90bc3b068e8c43de6,"[""You may want to""]",1,1,1.000000000000,1,0.238806,irs_cp504__heading_aware_220_40__s0006__c0000__4edc1b85a03cc098f12d2298f1bdbbf8ee173a47e3588b9a72499385a921d2c0,"[""Frequently asked questions"", ""What happens if I don't pay or contact the IRS?""]",0.525277500000,bge-reranker-v2-m3
S05,LT11 / Letter 1058,"[""Frequently asked questions"", ""What kinds of property can the IRS levy?""]",1,1,1.000000000000,1,0.087179,irs_lt11_1058__heading_aware_220_40__s0005__c0000__085e01e4edb81be8f233b51236c7f1b98649e110fcb7c2c3886a41907eb49b00,"[""Frequently asked questions"", ""What kinds of property can the IRS levy?""]",1,1,1.000000000000,1,0.000058,irs_lt11_1058__heading_aware_220_40__s0005__c0000__085e01e4edb81be8f233b51236c7f1b98649e110fcb7c2c3886a41907eb49b00,"[""Frequently asked questions"", ""What kinds of property can the IRS levy?""]",1,1,1.000000000000,1,0.087249,irs_lt11_1058__heading_aware_220_40__s0005__c0000__085e01e4edb81be8f233b51236c7f1b98649e110fcb7c2c3886a41907eb49b00,"[""Frequently asked questions"", ""What kinds of property can the IRS levy?""]",1,1,1.000000000000,1,0.247158,irs_lt11_1058__heading_aware_220_40__s0005__c0000__085e01e4edb81be8f233b51236c7f1b98649e110fcb7c2c3886a41907eb49b00,"[""Frequently asked questions"", ""What kinds of property can the IRS levy?""]",0.151780620000,bge-reranker-v2-m3
S06,CP2501,"[""What you need to do"", ""If you don’t agree or the information is incorrect""]",3,0,0.333333333333,1,0.093138,irs_cp2501__heading_aware_220_40__s0000__c0000__a6dc194e62985380d30a615b040e6aed047aefa61d13355949a5cadf2aa9d859,"[""Why you received this notice""]",5,0,0.200000000000,1,0.000064,irs_cp2501__heading_aware_220_40__s0000__c0000__a6dc194e62985380d30a615b040e6aed047aefa61d13355949a5cadf2aa9d859,"[""Why you received this notice""]",2,0,0.500000000000,1,0.093214,irs_cp2501__heading_aware_220_40__s0000__c0000__a6dc194e62985380d30a615b040e6aed047aefa61d13355949a5cadf2aa9d859,"[""Why you received this notice""]",1,1,1.000000000000,1,0.229629,irs_cp2501__heading_aware_220_40__s0003__c0000__f1b1f719a2e6a613a1c2bde8ab060aa15659371ab1a7a312678ec4d1bdd93d16,"[""What you need to do"", ""If you don’t agree or the information is incorrect""]",0.454018240000,bge-reranker-v2-m3
S07,CP2000 series,"[""You may want to"", ""Check and correct your records""]",1,1,1.000000000000,1,0.123772,irs_cp2000_series__heading_aware_220_40__s0007__c0000__684d93ec9ea29887eff87273fba755d0c0cc7960dff4b9b73f196c9d2377d2ae,"[""You may want to"", ""Check and correct your records""]",1,1,1.000000000000,1,0.000166,irs_cp2000_series__heading_aware_220_40__s0007__c0000__684d93ec9ea29887eff87273fba755d0c0cc7960dff4b9b73f196c9d2377d2ae,"[""You may want to"", ""Check and correct your records""]",1,1,1.000000000000,1,0.123970,irs_cp2000_series__heading_aware_220_40__s0007__c0000__684d93ec9ea29887eff87273fba755d0c0cc7960dff4b9b73f196c9d2377d2ae,"[""You may want to"", ""Check and correct your records""]",1,1,1.000000000000,1,0.293417,irs_cp2000_series__heading_aware_220_40__s0007__c0000__684d93ec9ea29887eff87273fba755d0c0cc7960dff4b9b73f196c9d2377d2ae,"[""You may want to"", ""Check and correct your records""]",0.064417670000,bge-reranker-v2-m3
S08,CP3219A,"[""Frequently asked questions"", ""Can I get an extension of time to respond? (updated March 7, 2024)""]",1,1,1.000000000000,1,0.123550,irs_cp3219a__heading_aware_220_40__s0017__c0000__c30267972a23c7f918299813b224a0eaa18e6ef90c188ebe408c0647ad5c151d,"[""Frequently asked questions"", ""Can I get an extension of time to respond? (updated March 7, 2024)""]",4,0,0.250000000000,1,0.000229,irs_cp3219a__heading_aware_220_40__s0006__c0000__f24f36beb95415d584a07981e7d0de856cb8d32f0377751ee20b8d949ac18e20,"[""What you need to do"", ""If you don’t agree"", ""If you want to challenge the proposed change in Tax Court""]",2,0,0.500000000000,1,0.123805,irs_cp3219a__heading_aware_220_40__s0006__c0000__f24f36beb95415d584a07981e7d0de856cb8d32f0377751ee20b8d949ac18e20,"[""What you need to do"", ""If you don’t agree"", ""If you want to challenge the proposed change in Tax Court""]",1,1,1.000000000000,1,0.265706,irs_cp3219a__heading_aware_220_40__s0017__c0000__c30267972a23c7f918299813b224a0eaa18e6ef90c188ebe408c0647ad5c151d,"[""Frequently asked questions"", ""Can I get an extension of time to respond? (updated March 7, 2024)""]",0.959001000000,bge-reranker-v2-m3
S09,CP30,"[""Reducing or removing your penalty""]",1,1,1.000000000000,1,0.085429,irs_cp30__heading_aware_220_40__s0002__c0000__7be3bc64d7cd390291ffd6a1d992c0266e184ca5bc237f2fa910f80aba39bb63,"[""Reducing or removing your penalty""]",1,1,1.000000000000,1,0.000171,irs_cp30__heading_aware_220_40__s0002__c0000__7be3bc64d7cd390291ffd6a1d992c0266e184ca5bc237f2fa910f80aba39bb63,"[""Reducing or removing your penalty""]",1,1,1.000000000000,1,0.085650,irs_cp30__heading_aware_220_40__s0002__c0000__7be3bc64d7cd390291ffd6a1d992c0266e184ca5bc237f2fa910f80aba39bb63,"[""Reducing or removing your penalty""]",1,1,1.000000000000,1,0.495083,irs_cp30__heading_aware_220_40__s0002__c0000__7be3bc64d7cd390291ffd6a1d992c0266e184ca5bc237f2fa910f80aba39bb63,"[""Reducing or removing your penalty""]",0.973240730000,bge-reranker-v2-m3
S10,CP523,"[""Frequently asked questions"", ""What if I don't agree with your action or have already taken corrective action?""]",1,1,1.000000000000,1,0.175666,irs_cp523__heading_aware_220_40__s0007__c0000__53c3d9edcec260b13a9319c42cc84a44d3e5aa262da1417f7dcb8cb23fc4bef5,"[""Frequently asked questions"", ""What if I don't agree with your action or have already taken corrective action?""]",2,0,0.500000000000,1,0.000053,irs_cp523__heading_aware_220_40__s0003__c0000__1edc58adcfcc110bc2994bb96759f53b0f276897d53dba702cab64e46980c56d,"[""Frequently asked questions"", ""What is the notice telling me?""]",1,1,1.000000000000,1,0.175731,irs_cp523__heading_aware_220_40__s0007__c0000__53c3d9edcec260b13a9319c42cc84a44d3e5aa262da1417f7dcb8cb23fc4bef5,"[""Frequently asked questions"", ""What if I don't agree with your action or have already taken corrective action?""]",1,1,1.000000000000,1,0.318228,irs_cp523__heading_aware_220_40__s0007__c0000__53c3d9edcec260b13a9319c42cc84a44d3e5aa262da1417f7dcb8cb23fc4bef5,"[""Frequently asked questions"", ""What if I don't agree with your action or have already taken corrective action?""]",0.018653521000,bge-reranker-v2-m3
